rank,ticker,company_name,market,sector,industry,investment_theme,universe_role,selection_reason,data_start_date,is_active,notes
1,005930,삼성전자,KOSPI,반도체·IT 하드웨어,종합 반도체 및 IT 세트,"반도체, AI, 메모리",Core,국내 주식시장의 대표 대형주로 유동성과 장기 가격 데이터가 매우 풍부합니다.,2010-01-01,True,2026-07 기준 상장 보통주 후보; 백테스트 전 시점별 상장 여부와 거래정지 이력 확인 필요
2,000660,SK하이닉스,KOSPI,반도체·IT 하드웨어,메모리 반도체,"HBM, AI, 메모리",Core,메모리와 HBM 사이클을 대표하는 고유동성 반도체 대형주입니다.,2010-01-01,True,2026-07 기준 상장 보통주 후보; 백테스트 전 시점별 상장 여부와 거래정지 이력 확인 필요
3,042700,한미반도체,KOSPI,반도체·IT 하드웨어,반도체 후공정 장비,"HBM, 반도체 장비",Growth,AI 반도체 후공정 장비 노출도가 높고 거래대금이 큰 중대형 성장주입니다.,2010-01-01,True,2026-07 기준 상장 보통주 후보; 백테스트 전 시점별 상장 여부와 거래정지 이력 확인 필요
4,039030,이오테크닉스,KOSDAQ,반도체·IT 하드웨어,레이저 반도체 장비,반도체 장비,Growth,반도체 공정 장비 경쟁력과 KOSDAQ 대표성을 함께 갖춘 종목입니다.,2010-01-01,True,2026-07 기준 상장 보통주 후보; 백테스트 전 시점별 상장 여부와 거래정지 이력 확인 필요; KOSDAQ 유동성은 월별 거래대금 필터 재확인
5,058470,리노공업,KOSDAQ,반도체·IT 하드웨어,반도체 테스트 소켓,반도체 부품,Growth,높은 수익성과 장기 실적 안정성을 보이는 반도체 부품 대표주입니다.,2010-01-01,True,2026-07 기준 상장 보통주 후보; 백테스트 전 시점별 상장 여부와 거래정지 이력 확인 필요; KOSDAQ 유동성은 월별 거래대금 필터 재확인
6,403870,HPSP,KOSDAQ,반도체·IT 하드웨어,고압 수소 어닐링 장비,반도체 장비,Growth,첨단 공정 장비 성장성을 반영할 수 있는 KOSDAQ 대형 기술주입니다.,2022-07-15,True,2026-07 기준 상장 보통주 후보; 백테스트 전 시점별 상장 여부와 거래정지 이력 확인 필요; KOSDAQ 유동성은 월별 거래대금 필터 재확인
7,140860,파크시스템스,KOSDAQ,반도체·IT 하드웨어,원자현미경 및 계측 장비,반도체 계측,Growth,계측 장비의 기술 진입장벽과 수출 성장성을 가진 중형 성장주입니다.,2015-12-17,True,2026-07 기준 상장 보통주 후보; 백테스트 전 시점별 상장 여부와 거래정지 이력 확인 필요; KOSDAQ 유동성은 월별 거래대금 필터 재확인
8,240810,원익IPS,KOSDAQ,반도체·IT 하드웨어,반도체 디스플레이 장비,반도체 장비,Cyclical,국내 반도체 설비투자 사이클을 반영하는 장비 대표 종목입니다.,2016-05-02,True,2026-07 기준 상장 보통주 후보; 백테스트 전 시점별 상장 여부와 거래정지 이력 확인 필요; KOSDAQ 유동성은 월별 거래대금 필터 재확인
9,036930,주성엔지니어링,KOSDAQ,반도체·IT 하드웨어,증착 장비,반도체 장비,Cyclical,반도체와 태양광 장비 수요 회복을 포착할 수 있는 유동성 종목입니다.,2010-01-01,True,2026-07 기준 상장 보통주 후보; 백테스트 전 시점별 상장 여부와 거래정지 이력 확인 필요; KOSDAQ 유동성은 월별 거래대금 필터 재확인
10,095340,ISC,KOSDAQ,반도체·IT 하드웨어,반도체 테스트 소켓,반도체 부품,Growth,테스트 소켓 분야의 성장성과 고객 다변화가 있는 반도체 부품주입니다.,2010-01-01,True,2026-07 기준 상장 보통주 후보; 백테스트 전 시점별 상장 여부와 거래정지 이력 확인 필요; KOSDAQ 유동성은 월별 거래대금 필터 재확인
11,064760,티씨케이,KOSDAQ,반도체·IT 하드웨어,반도체 공정 소재 부품,반도체 소재,Growth,고부가 반도체 공정 소재 노출과 장기 수익성을 갖춘 후보입니다.,2010-01-01,True,2026-07 기준 상장 보통주 후보; 백테스트 전 시점별 상장 여부와 거래정지 이력 확인 필요; KOSDAQ 유동성은 월별 거래대금 필터 재확인
12,222800,심텍,KOSDAQ,반도체·IT 하드웨어,반도체 패키지 기판,"패키징, 기판",Cyclical,메모리 패키지 기판 사이클과 IT 수요 회복을 반영하는 종목입니다.,2015-08-07,True,2026-07 기준 상장 보통주 후보; 백테스트 전 시점별 상장 여부와 거래정지 이력 확인 필요; KOSDAQ 유동성은 월별 거래대금 필터 재확인
